ID,title,price,promo_price,url
3433312,Чипсы Dr. Korner цельнозерновые кукурузно-рисовые с томатом и базиликом 50г,64.9,47.9,https://www.detmir.ru/product/index/id/3433312/
3422198,Батончик Bionova №10 маракуйя-кокос 35г,89.9,62.3,https://www.detmir.ru/product/index/id/3422198/
3889805,Гематоген Народный Просто 25г,24.9,,https://www.detmir.ru/product/index/id/3889805/
3286084,Батончик Леовит Фрутончик со злаками яблоко-курага-рис 20г,58.9,35.9,https://www.detmir.ru/product/index/id/3286084/
3728585,Снек Bob Snail Фруктово-ягодный яблочно-клубничный в молочном бельгийском шоколаде без добавленного сахара 60г,190.9,162.1,https://www.detmir.ru/product/index/id/3728585/
3728580,Снек Bob Snail Фруктовый манговый в молочном бельгийском шоколаде без добавленного сахара 30г,104.9,83.9,https://www.detmir.ru/product/index/id/3728580/
3992460,Батончик ФРУТИЛАД Kids бананово-клубничный 25г в ассортименте,42.1,,https://www.detmir.ru/product/index/id/3992460/
3689547,Батончик-мюсли Леовит Мой лайк для иммунитета арония 25г,19.9,16.9,https://www.detmir.ru/product/index/id/3689547/
3728589,Снек Bob Snail Фруктово-ягодный яблочно-малиновый в молочном бельгийском шоколаде без добавленного сахара 60г,190.9,162.1,https://www.detmir.ru/product/index/id/3728589/
3294949,Козинак Рототайка на фруктозе кунжут-курага 27г,24.9,18.9,https://www.detmir.ru/product/index/id/3294949/
3728581,Снек Bob Snail Фруктовый хурма в молочном бельгийском шоколаде без добавленного сахара 30г,104.9,83.9,https://www.detmir.ru/product/index/id/3728581/
3433300,Хлебцы Dr. Korner кукурузно-рисовые с киноа льном и розмарином 100г,114.9,97.5,https://www.detmir.ru/product/index/id/3433300/
3710572,Батончик Капитан Сильвер из вареной сгущенки в шоколадной глазури 50г,39.9,,https://www.detmir.ru/product/index/id/3710572/
3710568,Батончик Капитан Сильвер с какао в шоколадной глазури 50г,34.9,,https://www.detmir.ru/product/index/id/3710568/
3277068,Снеки Зеленика сушеная свекла 50г,178.9,161.9,https://www.detmir.ru/product/index/id/3277068/
3728588,Снек Bob Snail Фруктовый яблочно-грушевый в молочном бельгийском шоколаде без добавленного сахара 60г,190.9,162.1,https://www.detmir.ru/product/index/id/3728588/
3728586,Снек Bob Snail Фруктовый манговый в молочном бельгийском шоколаде без добавленного сахара 60г,190.9,162.1,https://www.detmir.ru/product/index/id/3728586/
3533590,Фрукты сушеные Gifruit киви 250г,405,201,https://www.detmir.ru/product/index/id/3533590/
3486246,Снеки Зеленика сушеный ананас 15г,159.9,,https://www.detmir.ru/product/index/id/3486246/
3335270,Батончик ПП мюсли дыня в йогуртовой глазури 30г,58.9,37.9,https://www.detmir.ru/product/index/id/3335270/
3608691,Батончик глазированный Snaq Fabriq манго-маракуйя 40г,64.9,,https://www.detmir.ru/product/index/id/3608691/
3322299,Батончик Дары Памира Шелковица с Памира шелковица 20г,55.5,44.3,https://www.detmir.ru/product/index/id/3322299/
3710571,Батончик Капитан Сильвер из вареной сгущенки в йогуртовой глазури 50г,29.9,,https://www.detmir.ru/product/index/id/3710571/
3277078,Снеки Зеленика сушеная груша 20г,184.9,,https://www.detmir.ru/product/index/id/3277078/
3284507,Батончик Take a Slim Bite фруктово-ягодный кокос 30г,67.9,57.7,https://www.detmir.ru/product/index/id/3284507/
3444363,Батончик-мюсли Диа-Веста с абрикосом и витамином С 30г,26.5,,https://www.detmir.ru/product/index/id/3444363/
3819338,Фрукты сушеные Gifruit exotic манго 100г,188.9,,https://www.detmir.ru/product/index/id/3819338/
3728590,Набор с игрушкой Bob Snail Ролл фруктовый 20г,194.9,155.9,https://www.detmir.ru/product/index/id/3728590/
3604582,Хлебцы Ого! столовые 75г,26.9,22.7,https://www.detmir.ru/product/index/id/3604582/
3277077,Снеки Зеленика сушеное яблоко 20г,157.9,,https://www.detmir.ru/product/index/id/3277077/
3286185,Батончик-мюсли Bombbar фундук 45г,54.9,47.9,https://www.detmir.ru/product/index/id/3286185/
3322302,Батончик Дары Памира Шелковица с Памира шелковица-инжир 20г,55.5,44.3,https://www.detmir.ru/product/index/id/3322302/
3286186,Батончик-мюсли Bombbar клубника 45г,54.9,47.9,https://www.detmir.ru/product/index/id/3286186/
